Date,ticker,sector,industry,return_t,return_t_plus_1,year,adx,trix,adxr,cci,macd,macdh,rsi_14,kdjk,wr_14,atr_percent,atr,cmf
2020-01-31,MMM,Industrials,Conglomerates,-0.07902871147110702,-0.030629906557688713,2020,56.99525307925383,-0.21820353717354246,43.23560358054451,-169.35269455982652,-2.465732171629881,-1.3855915061792832,13.788753921611793,11.145066398852869,-91.23449609712813,0.022596194230072898,3.0331422543274664,-0.17776032468331834
2020-02-07,MMM,Industrials,Conglomerates,-0.030629906557688713,0.01370237376294714,2020,64.94076738228472,-0.4431801946259177,57.517030217116094,-67.99616400327841,-3.3782536200928064,-1.1551935579907258,28.74684250760292,11.85953924739376,-85.50719043391362,0.0232822162536856,3.0842166728759413,-0.3812100328291454
2020-02-14,MMM,Industrials,Conglomerates,0.01370237376294714,-0.01336375513755872,2020,42.3197455143587,-0.4958806849848854,50.80290521185372,-37.62154526241812,-2.8747170245435427,0.0196753086127943,35.55866015262737,49.905718484455406,-74.92769168957591,0.0213199146943543,2.8958362305081518,-0.3918238692585875
2020-02-21,MMM,Industrials,Conglomerates,-0.01336375513755872,-0.05771278877558128,2020,39.94512527524966,-0.43572575374575595,42.53806846754584,-65.35937737274728,-2.7383433204165186,0.08591524500282019,33.50608058040353,27.102634118930713,-75.02484062835939,0.0205251544934495,2.7278350827580398,-0.39465952943459215
2020-02-28,MMM,Industrials,Conglomerates,-0.05771278877558128,0.012521789299788644,2020,48.25261676291477,-0.4598291988593302,45.86314621465908,-165.04433264742988,-3.841003630388371,-0.5981429910492952,26.6719672339474,13.172782207519576,-84.32093094472516,0.0250048477080672,3.1143160855225416,-0.4177610810642461
2020-03-06,MMM,Industrials,Conglomerates,0.012521789299788644,-0.05149709351945386,2020,50.91939792780393,-0.4974889455003488,48.84250209197756,-46.55153651497715,-3.649783522760771,-0.0257840440239798,41.492921853187696,35.91071210532511,-58.87903797569207,0.0335226089991275,4.291049709599644,-0.2523302706378739
2020-03-13,MMM,Industrials,Conglomerates,-0.05149709351945386,-0.07921551561080786,2020,52.54097278600703,-0.4485753383479328,51.50460965993086,-146.29124723458312,-3.4682157122670816,0.0268298840351106,40.88419446433644,37.215173501992254,-75.46542964650045,0.0404789149800586,4.983374071722797,-0.1926202882656158
2020-03-20,MMM,Industrials,Conglomerates,-0.07921551561080786,-0.020724130561433185,2020,56.542247649704734,-0.5897976971078411,55.25945926432147,-111.7960159054786,-5.247096718185844,-1.0446272598200914,38.12840173078272,28.426519020725816,-77.60363083348032,0.0566340905089927,6.457270849913262,-0.0840983761992127
2020-03-27,MMM,Industrials,Conglomerates,-0.020724130561433185,0.04255511248291821,2020,52.904621657660726,-0.7664754697315673,55.11715962573884,-53.9799770218188,-6.2729846394709625,-0.6388894595875536,42.83033944068304,44.703957469866594,-54.10319225234189,0.0698520027244181,7.475789463982442,0.0254770642703626
2020-04-03,MMM,Industrials,Conglomerates,0.04255511248291821,0.06884335586100399,2020,38.96371952430562,-0.6419303708910754,44.14858283275477,39.594016745514026,-4.1567681958718055,0.8795003513181934,46.38502443239393,76.87851367001153,-24.445306265782374,0.0605139176418604,6.740543607548656,0.114458436828605
